S. No. ,Location,Name,Well lit?,Lift/Escalator working?,Nearest Bus Stop Location,Video link
1,"17.494967, 78.399277",Remedy Lane,No,No,"FCV2+PC Hyderabad, Telangana",https://youtube.com/shorts/dD0vMh97U1s?feature=share
2,"17.496522, 78.360648",Miyapur Footover Bridge,No,No,,https://youtube.com/shorts/wttTJtxgW6Y
3,"17.494048, 78.350473",Allwyn Cross Road,No,No,,https://youtube.com/shorts/FsFr6rr0HiE?feature=share
4,"17.495146, 78.340458",Madinaguda Footover Bridge,No,No,,https://youtube.com/shorts/WuJUOOEO_SI
5,"17.495582, 78.334597",Chandanagar Footover Bridge,No,No,,https://youtube.com/shorts/gMsw_wHMtns
6,"17.48724, 78.45019",Jeedimetla Main Road,NA,No,,https://youtube.com/shorts/lso_PhGuClU
7,"17.511696602001987, 78.44776436693647",Shapur Nagar Main Road,NA,No,,https://youtube.com/shorts/THM_ce65f8g
8,"17.424825212235543, 78.37922263714184",Gachibowli Road,NA,NA,,https://youtube.com/shorts/VGG3Bn6WWfY
9,"17.420207, 78.385744",Malkamcheruvu,Yes,Yes,,https://youtube.com/shorts/bAhMd3g4Jo8
10,"17.469368, 78.427732",Moosapet Footover,No,No,,https://youtube.com/shorts/YLW6uTB-TWc
11,"17.449080, 78.437344",SR Nagar Footover,No,No,,https://youtube.com/shorts/jKcl-g0r8iM?feature=share
12,"17.475012, 78.388661",KPHB 4th Phase,Yes,No,,https://youtube.com/shorts/3q2RfsHbJGs?feature=share
13,"17.446609, 78.377666",Medicover Hospital,No,No,,https://youtube.com/shorts/LLPepIosJnU?feature=share
14,"17.433798, 78.384763",ITC Kohenur,Yes,Yes,,https://youtube.com/shorts/fyH9jnLkRg4?feature=share
15,"17.417735, 78.411109",Bharati Vidya Bhavan Ground,No,No,,https://youtube.com/shorts/j8ofunBPVTw?feature=share
16,"17.423696, 78.427718",L V Prasad Eye Institute,Yes,No,,https://youtube.com/shorts/LT6frl4kfA8?feature=share
17,"17.480498, 78.389691",Nexus Mall (Malaysian Township),No,No,,https://youtube.com/shorts/LWYaMxhYVEo?feature=share
18,"17.436423, 78.347140",Microsoft Office,NA,No,,https://youtube.com/shorts/iZCapUPGmSQ?feature=share